query_name,generic_class,query_family,query_type,selected_root,document_depth,g_class,g_class_name,g_class_description,is_active,activation_status,activation_score,activation_reason,activation_evidence,DeltaRratio,query_update_volatility_score,max_observed_sharedness_score
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,True,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,"{'query_family': 'Aggregation / ranking', 'max_depth_for_query': 4.0, 'document_depth': 4.0, 'DeltaRratio': 1.0}",1.0,0.7702857142857144,0.2958825
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,True,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,"{'max_observed_sharedness_score': 0.2958825, 'touches_association': True, 'shared_target_entities': ['FinancialServiceAccount', 'ListedSecurity', 'Transaction']}",1.0,0.7702857142857144,0.2958825
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,True,active,1.0,The query has an aggregation/ranking profile and may benefit from read-optimized or precomputed document structures.,"{'query_family': 'Aggregation / ranking', 'generic_class': 'QG7', 'DeltaRratio': 1.0}",1.0,0.7702857142857144,0.2958825
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,True,active,0.9702857142857144,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,"{'is_write_query': False, 'query_update_volatility_score': 0.7702857142857144, 'query_update_volatility_level': 'high'}",1.0,0.7702857142857144,0.2958825
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 6.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.7702857142857144,0.2958825
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.9132336428571428,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.7702857142857144, 'max_observed_sharedness_score': 0.2958825, 'activation_has_mapping_warning': True}",1.0,0.7702857142857144,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 3.0, 'DeltaRratio': 1.0}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,False,inactive,0.0,Descriptor-oriented embedding is not a main driver.,"{'touches_descriptor': False, 'document_depth': 2.0, 'DeltaRratio': 1.0}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,False,inactive,0.0,Containment embedding is not a main driver.,"{'touches_containment': False, 'document_depth': 2.0, 'DeltaRratio': 1.0}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,True,active,0.8,The query touches associative relationships that may require embedded summaries or references.,"{'touches_association': True, 'n_entities_touched': 4.0, 'remaining_external_edges': False}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,False,inactive,0.0,The query does not require a deep document structure.,"{'query_family': 'Aggregation / ranking', 'max_depth_for_query': 2.0, 'document_depth': 2.0, 'DeltaRratio': 1.0}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,True,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,"{'max_observed_sharedness_score': 0.2958825, 'touches_association': True, 'shared_target_entities': ['ListedSecurity', 'Transaction']}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,True,active,1.0,The query has an aggregation/ranking profile and may benefit from read-optimized or precomputed document structures.,"{'query_family': 'Aggregation / ranking', 'generic_class': 'QG8', 'DeltaRratio': 1.0}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,True,active,0.849,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,"{'is_write_query': False, 'query_update_volatility_score': 0.649, 'query_update_volatility_level': 'high'}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 3.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.649,0.2958825
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.8889765,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.649, 'max_observed_sharedness_score': 0.2958825, 'activation_has_mapping_warning': True}",1.0,0.649,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 5.0, 'DeltaRratio': 1.0}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,False,inactive,0.0,Descriptor-oriented embedding is not a main driver.,"{'touches_descriptor': False, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,True,active,1.0,The query touches containment relationships suitable for nested document structures.,"{'touches_containment': True, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,True,active,0.8,The query touches associative relationships that may require embedded summaries or references.,"{'touches_association': True, 'n_entities_touched': 6.0, 'remaining_external_edges': False}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,True,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,"{'query_family': 'Associative retrieval + comparison', 'max_depth_for_query': 3.0, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,True,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,"{'max_observed_sharedness_score': 0.2958825, 'touches_association': True, 'shared_target_entities': ['FinancialServiceAccount', 'ListedSecurity', 'Transaction']}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,False,inactive,0.0,Aggregation-oriented configuration is not central.,"{'query_family': 'Associative retrieval + comparison', 'generic_class': 'QG9', 'DeltaRratio': 1.0}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,True,active,1.0,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,"{'is_write_query': False, 'query_update_volatility_score': 0.8320000000000001, 'query_update_volatility_level': 'high'}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 5.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.8320000000000001,0.2958825
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.8255764999999999,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.8320000000000001, 'max_observed_sharedness_score': 0.2958825, 'activation_has_mapping_warning': False}",1.0,0.8320000000000001,0.2958825
